,status,category,subcategory,item,yearmonth,value
54,export,Non-Alloy Finished Steel,Non-Flat Products of Non-Alloy Finished Steel,Total - Non-Flat Products of Non-Alloy Finished Steel,2016-17,872.0
55,export,Non-Alloy Finished Steel,Flat Products of Non-Alloy Finished Steel,Plates,2016-17,301.0
56,export,Non-Alloy Finished Steel,Flat Products of Non-Alloy Finished Steel,HR Coil/Strip,2016-17,2878.0
57,export,Non-Alloy Finished Steel,Flat Products of Non-Alloy Finished Steel,HR Sheets,2016-17,75.0
58,export,Non-Alloy Finished Steel,Flat Products of Non-Alloy Finished Steel,CR Coil/Sheets,2016-17,1394.0
59,export,Non-Alloy Finished Steel,Flat Products of Non-Alloy Finished Steel,GP/GC/Galvalume,2016-17,1716.0
60,export,Non-Alloy Finished Steel,Flat Products of Non-Alloy Finished Steel,Color Coated Sheets/Coils,2016-17,
61,export,Non-Alloy Finished Steel,Flat Products of Non-Alloy Finished Steel,Electrical Coils/Sheets,2016-17,45.0
62,export,Non-Alloy Finished Steel,Flat Products of Non-Alloy Finished Steel,Tin Plates,2016-17,56.0
63,export,Non-Alloy Finished Steel,Flat Products of Non-Alloy Finished Steel,Tin Free Steel,2016-17,2.0
64,export,Non-Alloy Finished Steel,Flat Products of Non-Alloy Finished Steel,Pipes (Large Diameter),2016-17,245.0
65,export,Non-Alloy Finished Steel,Flat Products of Non-Alloy Finished Steel,Total - Flat Products of Non-Alloy Finished Steel,2016-17,6712.0
66,export,Alloy/Stainless Finished Steel,Non-Flat Products of Alloy/Stainless Fnished Steel,,2016-17,190.0
67,export,Alloy/Stainless Finished Steel,Flat Products of Alloy/Stainless Finished Steel,,2016-17,468.0
68,export,Non-Alloy Finished Steel,Non-Flat Products of Non-Alloy Finished Steel,Bars & Rods,2017-18,2042.0
69,export,Non-Alloy Finished Steel,Non-Flat Products of Non-Alloy Finished Steel,Structurals,2017-18,173.0
70,export,Non-Alloy Finished Steel,Non-Flat Products of Non-Alloy Finished Steel,Railway Materials,2017-18,43.0
71,export,Non-Alloy Finished Steel,Non-Flat Products of Non-Alloy Finished Steel,Total - Non-Flat Products of Non-Alloy Finished Steel,2017-18,2258.0
72,export,Non-Alloy Finished Steel,Flat Products of Non-Alloy Finished Steel,Plates,2017-18,491.0
73,export,Non-Alloy Finished Steel,Flat Products of Non-Alloy Finished Steel,HR Coil/Strip,2017-18,2820.0
74,export,Non-Alloy Finished Steel,Flat Products of Non-Alloy Finished Steel,HR Sheets,2017-18,18.0
75,export,Non-Alloy Finished Steel,Flat Products of Non-Alloy Finished Steel,CR Coil/Sheets,2017-18,1230.0
76,export,Non-Alloy Finished Steel,Flat Products of Non-Alloy Finished Steel,GP/GC/Galvalume,2017-18,1086.0
77,export,Non-Alloy Finished Steel,Flat Products of Non-Alloy Finished Steel,Color Coated Sheets/Coils,2017-18,58.0
78,export,Non-Alloy Finished Steel,Flat Products of Non-Alloy Finished Steel,Electrical Coils/Sheets,2017-18,90.0
79,export,Non-Alloy Finished Steel,Flat Products of Non-Alloy Finished Steel,Tin Plates,2017-18,37.0
80,export,Non-Alloy Finished Steel,Flat Products of Non-Alloy Finished Steel,Tin Free Steel,2017-18,2.0
81,export,Non-Alloy Finished Steel,Flat Products of Non-Alloy Finished Steel,Pipes (Large Diameter),2017-18,637.0
82,export,Non-Alloy Finished Steel,Flat Products of Non-Alloy Finished Steel,Total - Flat Products of Non-Alloy Finished Steel,2017-18,6469.0
83,export,Alloy/Stainless Finished Steel,Non-Flat Products of Alloy/Stainless Fnished Steel,,2017-18,523.0
84,export,Alloy/Stainless Finished Steel,Flat Products of Alloy/Stainless Finished Steel,,2017-18,370.0
0,import,Non-Alloy Finished Steel,Non-Flat Products of Non-Alloy Finished Steel,Bars & Rods,2013-14,294.0
1,import,Non-Alloy Finished Steel,Non-Flat Products of Non-Alloy Finished Steel,Structurals,2013-14,44.0
2,import,Non-Alloy Finished Steel,Non-Flat Products of Non-Alloy Finished Steel,Rly.Materials,2013-14,4.0
3,import,Non-Alloy Finished Steel,Non-Flat Products of Non-Alloy Finished Steel,Total - Non-Flat Products of Non-Alloy Finished Steel,2013-14,342.0
4,import,Non-Alloy Finished Steel,Flat Products of Non-Alloy Finished Steel,Plates,2013-14,410.0
5,import,Non-Alloy Finished Steel,Flat Products of Non-Alloy Finished Steel,HR Coil/Strip,2013-14,1104.0
6,import,Non-Alloy Finished Steel,Flat Products of Non-Alloy Finished Steel,HR Sheets,2013-14,102.0
7,import,Non-Alloy Finished Steel,Flat Products of Non-Alloy Finished Steel,CR Coil/Sheets,2013-14,1279.0
8,import,Non-Alloy Finished Steel,Flat Products of Non-Alloy Finished Steel,GP/GC/Galvalume,2013-14,368.0
9,import,Non-Alloy Finished Steel,Flat Products of Non-Alloy Finished Steel,Color Coated Sheets/Coils,2013-14,
10,import,Non-Alloy Finished Steel,Flat Products of Non-Alloy Finished Steel,Electrical Coils/Sheets,2013-14,347.0
11,import,Non-Alloy Finished Steel,Flat Products of Non-Alloy Finished Steel,TMBP,2013-14,1.0
12,import,Non-Alloy Finished Steel,Flat Products of Non-Alloy Finished Steel,Tin Plates,2013-14,188.0
13,import,Non-Alloy Finished Steel,Flat Products of Non-Alloy Finished Steel,Tin Free Steel,2013-14,57.0
14,import,Non-Alloy Finished Steel,Flat Products of Non-Alloy Finished Steel,Pipes (Large Diameter),2013-14,101.0
15,import,Non-Alloy Finished Steel,Flat Products of Non-Alloy Finished Steel,Total - Flat Products of Non-Alloy Finished Steel,2013-14,3957.0
16,import,Alloy/Stainless Finished Steel,Non-Flat Products of Alloy/Stainless Finished Steel,,2013-14,237.0
17,import,Alloy/Stainless Finished Steel,Flat Products of Alloy/Stainless Finished Steel,,2013-14,915.0
18,import,Non-Alloy Finished Steel,Non-Flat Products of Non-Alloy Finished Steel,Bars & Rods,2014-15,854.0
19,import,Non-Alloy Finished Steel,Non-Flat Products of Non-Alloy Finished Steel,Structurals,2014-15,54.0
20,import,Non-Alloy Finished Steel,Non-Flat Products of Non-Alloy Finished Steel,Rly.Materials,2014-15,15.0
21,import,Non-Alloy Finished Steel,Non-Flat Products of Non-Alloy Finished Steel,Total - Non-Flat Products of Non-Alloy Finished Steel,2014-15,923.0
22,import,Non-Alloy Finished Steel,Flat Products of Non-Alloy Finished Steel,Plates,2014-15,732.0
23,import,Non-Alloy Finished Steel,Flat Products of Non-Alloy Finished Steel,HR Coil/Strip,2014-15,2006.0
24,import,Non-Alloy Finished Steel,Flat Products of Non-Alloy Finished Steel,HR Sheets,2014-15,79.0
25,import,Non-Alloy Finished Steel,Flat Products of Non-Alloy Finished Steel,CR Coil/Sheets,2014-15,1713.0
26,import,Non-Alloy Finished Steel,Flat Products of Non-Alloy Finished Steel,GP/GC/Galvalume,2014-15,444.0
27,import,Non-Alloy Finished Steel,Flat Products of Non-Alloy Finished Steel,Color Coated Sheets/Coils,2014-15,
28,import,Non-Alloy Finished Steel,Flat Products of Non-Alloy Finished Steel,Electrical Coils/Sheets,2014-15,418.0
29,import,Non-Alloy Finished Steel,Flat Products of Non-Alloy Finished Steel,TMBP,2014-15,1.0
30,import,Non-Alloy Finished Steel,Flat Products of Non-Alloy Finished Steel,Tin Plates,2014-15,219.0
31,import,Non-Alloy Finished Steel,Flat Products of Non-Alloy Finished Steel,Tin Free Steel,2014-15,87.0
32,import,Non-Alloy Finished Steel,Flat Products of Non-Alloy Finished Steel,Pipes (Large Diameter),2014-15,132.0
33,import,Non-Alloy Finished Steel,Flat Products of Non-Alloy Finished Steel,Total - Flat Products of Non-Alloy Finished Steel,2014-15,5831.0
34,import,Alloy/Stainless Finished Steel,Non-Flat Products of Alloy/Stainless Finished Steel,,2014-15,822.0
35,import,Alloy/Stainless Finished Steel,Flat Products of Alloy/Stainless Finished Steel,,2014-15,1745.0
36,import,Non-Alloy Finished Steel,Non-Flat Products of Non-Alloy Finished Steel,Bars & Rods,2015-16,621.0
37,import,Non-Alloy Finished Steel,Non-Flat Products of Non-Alloy Finished Steel,Structurals,2015-16,25.0
38,import,Non-Alloy Finished Steel,Non-Flat Products of Non-Alloy Finished Steel,Rly.Materials,2015-16,12.0
39,import,Non-Alloy Finished Steel,Non-Flat Products of Non-Alloy Finished Steel,Total - Non-Flat Products of Non-Alloy Finished Steel,2015-16,658.0
40,import,Non-Alloy Finished Steel,Flat Products of Non-Alloy Finished Steel,Plates,2015-16,1060.0
41,import,Non-Alloy Finished Steel,Flat Products of Non-Alloy Finished Steel,HR Coil/Strip,2015-16,3401.0
42,import,Non-Alloy Finished Steel,Flat Products of Non-Alloy Finished Steel,HR Sheets,2015-16,105.0
43,import,Non-Alloy Finished Steel,Flat Products of Non-Alloy Finished Steel,CR Coil/Sheets,2015-16,2235.0
44,import,Non-Alloy Finished Steel,Flat Products of Non-Alloy Finished Steel,GP/GC/Galvalume,2015-16,586.0
45,import,Non-Alloy Finished Steel,Flat Products of Non-Alloy Finished Steel,Color Coated Sheets/Coils,2015-16,
46,import,Non-Alloy Finished Steel,Flat Products of Non-Alloy Finished Steel,Electrical Coils/Sheets,2015-16,318.0
47,import,Non-Alloy Finished Steel,Flat Products of Non-Alloy Finished Steel,TMBP,2015-16,4.0
48,import,Non-Alloy Finished Steel,Flat Products of Non-Alloy Finished Steel,Tin Plates,2015-16,170.0
49,import,Non-Alloy Finished Steel,Flat Products of Non-Alloy Finished Steel,Tin Free Steel,2015-16,81.0
50,import,Non-Alloy Finished Steel,Flat Products of Non-Alloy Finished Steel,Pipes (Large Diameter),2015-16,101.0
51,import,Non-Alloy Finished Steel,Flat Products of Non-Alloy Finished Steel,Total - Flat Products of Non-Alloy Finished Steel,2015-16,8061.0
52,import,Alloy/Stainless Finished Steel,Non-Flat Products of Alloy/Stainless Finished Steel,,2015-16,1119.0
53,import,Alloy/Stainless Finished Steel,Flat Products of Alloy/Stainless Finished Steel,,2015-16,1875.0
54,import,Non-Alloy Finished Steel,Non-Flat Products of Non-Alloy Finished Steel,Bars & Rods,2016-17,419.0
55,import,Non-Alloy Finished Steel,Non-Flat Products of Non-Alloy Finished Steel,Structurals,2016-17,64.0
56,import,Non-Alloy Finished Steel,Non-Flat Products of Non-Alloy Finished Steel,Rly.Materials,2016-17,39.0
57,import,Non-Alloy Finished Steel,Non-Flat Products of Non-Alloy Finished Steel,Total - Non-Flat Products of Non-Alloy Finished Steel,2016-17,522.0
58,import,Non-Alloy Finished Steel,Flat Products of Non-Alloy Finished Steel,Plates,2016-17,740.0
59,import,Non-Alloy Finished Steel,Flat Products of Non-Alloy Finished Steel,HR Coil/Strip,2016-17,1905.0
60,import,Non-Alloy Finished Steel,Flat Products of Non-Alloy Finished Steel,HR Sheets,2016-17,39.0
61,import,Non-Alloy Finished Steel,Flat Products of Non-Alloy Finished Steel,CR Coil/Sheets,2016-17,917.0
